员工加班费用统计表-员工加班费用统计表-输入员工姓名-输入员工姓名-序号-序号,员工加班费用统计表-员工加班费用统计表-输入员工姓名-输入员工姓名-登记日期-登记日期,员工加班费用统计表-员工加班费用统计表-稻小壳1-稻小壳1-员工编号-员工编号,员工加班费用统计表-员工加班费用统计表-查询加班次数-查询加班次数-姓名-姓名,员工加班费用统计表-员工加班费用统计表-3-3-部门-部门,员工加班费用统计表-员工加班费用统计表-查询加班总费用-查询加班总费用-岗位-岗位,员工加班费用统计表-员工加班费用统计表-￥180.00-￥180.00-加班时长-开始,员工加班费用统计表-员工加班费用统计表-￥180.00-￥180.00-加班时长-结束,员工加班费用统计表-员工加班费用统计表-￥180.00-￥180.00-加班时长-时长/小时,员工加班费用统计表-员工加班费用统计表-类别-类别,员工加班费用统计表-员工加班费用统计表-合计加班工资总计：-合计加班工资总计：-单价/元-单价/元,员工加班费用统计表-员工加班费用统计表-合计加班工资总计：-合计加班工资总计：-合计加班工资/元-合计加班工资/元,员工加班费用统计表-员工加班费用统计表-￥930.00-￥930.00-合计加班工资/元-合计加班工资/元,员工加班费用统计表-员工加班费用统计表-￥930.00-￥930.00-登记人-登记人,员工加班费用统计表-员工加班费用统计表-￥930.00-￥930.00-员工核对-员工核对,员工加班费用统计表-员工加班费用统计表-说明-说明,员工加班费用统计表-员工加班费用统计表-说明-说明.1
1,年 月 日,3101,稻小壳1,xx部门,岗位1,19:00,21:00,2,工作日,22.5,45.0,45.0,稻壳儿,稻小壳1,工作日加班,1.5倍工资
2,年 月 日,3102,稻小壳2,xx部门,岗位2,9:00,11:00,2,工作日,22.5,45.0,45.0,稻壳儿,稻小壳2,节假日加班,2倍工资
3,年 月 日,3103,稻小壳3,xx部门,岗位3,13:00,18:00,5,工作日,22.5,112.5,112.5,稻壳儿,稻小壳3,法定日加班,3倍工资
4,年 月 日,3104,稻小壳4,xx部门,岗位4,9:00,12:00,3,工作日,22.5,67.5,67.5,稻壳儿,稻小壳4,注：基本时长单价为15元。,注：基本时长单价为15元。
5,年 月 日,3105,稻小壳5,xx部门,岗位5,9:00,17:00,8,节假日,30.0,240.0,240.0,稻壳儿,稻小壳5,注：基本时长单价为15元。,注：基本时长单价为15元。
6,年 月 日,3106,稻小壳6,xx部门,岗位6,9:00,11:00,2,节假日,30.0,60.0,60.0,稻壳儿,稻小壳6,登记加班次数,登记加班次数
7,年 月 日,3107,稻小壳1,xx部门,岗位1,19:00,21:00,2,工作日,22.5,45.0,45.0,稻壳儿,稻小壳1,11,11
8,年 月 日,3108,稻小壳8,xx部门,岗位8,19:00,21:00,2,工作日,22.5,45.0,45.0,稻壳儿,稻小壳8,11,11
9,年 月 日,3109,稻小壳9,xx部门,岗位9,19:00,21:00,2,法定日,45.0,90.0,90.0,稻壳儿,稻小壳9,登记加班总时长,登记加班总时长
10,年 月 日,3110,稻小壳10,xx部门,岗位10,19:00,21:00,2,法定日,45.0,90.0,90.0,稻壳儿,稻小壳10,32,32
11,年 月 日,3111,稻小壳1,xx部门,岗位1,19:00,21:00,2,法定日,45.0,90.0,90.0,稻壳儿,稻小壳1,32,32
