学生考试成绩智能统计表-学生考试成绩智能统计表-考试人数-学号,学生考试成绩智能统计表-学生考试成绩智能统计表-考试人数-学生姓名,学生考试成绩智能统计表-学生考试成绩智能统计表-15-语文,学生考试成绩智能统计表-学生考试成绩智能统计表-15-数学,学生考试成绩智能统计表-学生考试成绩智能统计表-优秀-英语,学生考试成绩智能统计表-学生考试成绩智能统计表-3-物理,学生考试成绩智能统计表-学生考试成绩智能统计表-良好-化学,学生考试成绩智能统计表-学生考试成绩智能统计表-3-体育,学生考试成绩智能统计表-学生考试成绩智能统计表-合格-总分,学生考试成绩智能统计表-学生考试成绩智能统计表-8-平均分,学生考试成绩智能统计表-学生考试成绩智能统计表-不合格-等级,学生考试成绩智能统计表-学生考试成绩智能统计表-1,学生考试成绩智能统计表-学生考试成绩智能统计表-1-自定义设置区域,学生考试成绩智能统计表-学生考试成绩智能统计表-2024/2/21-自定义设置区域,学生考试成绩智能统计表-学生考试成绩智能统计表-2024/2/21-自定义设置区域.1
20210901,莉莉,88,88,95,71,58,52,452,75.33,优秀,,0,300以下,不合格
20210902,小芳,51,50,73,42,81,91,388,64.67,合格,,300,300-399,合格
20210903,小美,95,71,58,52,92,79,447,74.5,良好,,400,400-449,良好
20210904,小新,73,42,81,91,46,72,405,67.5,良好,,450,450以上,优秀
20210905,小小,58,52,92,79,72,30,383,63.83,合格,,,,
20210906,大壮,81,91,46,72,56,48,394,65.67,合格,,优秀率,优秀率,20%
20210907,大风,92,79,72,30,52,48,373,62.17,合格,,优秀率,优秀率,20%
20210908,大可,46,72,93,74,53,69,407,67.83,良好,,,,
20210909,小赵,72,30,96,91,58,52,399,66.5,合格,,良好率,良好率,40%
20210910,小芸,81,83,71,58,81,91,465,77.5,优秀,,良好率,良好率,40%
20210911,小丽,88,88,60,81,92,79,488,81.33,优秀,,,,
20210912,大明,51,50,50,52,46,72,321,53.5,合格,,合格率,合格率,93%
20210913,美美,35,23,48,46,72,30,254,42.33,不合格,,合格率,合格率,93%
20210914,浪浪,73,42,92,72,30,66,375,62.5,合格,,,,
20210915,乐乐,58,52,61,62,80,75,388,64.67,合格,,,,
