加班工时记录表-序号,加班工时记录表-员工姓名,加班工时记录表-部门,加班工时记录表-岗位,加班工时记录表-日期,加班工时记录表-加班类型,加班工时记录表-开始时间,加班工时记录表-结束时间,加班工时记录表-加班费用,加班工时记录表-调休天数
1,郭铠珠,测试部,测试工程师,2021-01-08,平时加班,21:33,22:33,"¥4,091.00",14
2,康莉贞,行政部,销售经理,2021-01-09,周未加班,22:33,23:33,"¥4,062.00",30
3,史影,研发部,开发工程师,2021-01-11,法定节假日,23:33,00:33,"¥1,010.00",12
4,郑琳,测试部,测试工程师,2021-01-11,平时加班,00:33,01:33,¥519.00,15
5,锂壁,行政部,销售经理,2021-01-13,周末加班,01:33,02:33,"¥3,119.00",4
6,茅钧欢,研发部,开发工程师,2021-01-17,法定节假日,02:33,03:33,¥378.00,0
7,康试洁,测试部,测试工程师,2021-01-15,平时加班,03:33,04:33,"¥3,113.00",47
8,于可秀,行政部,销售经理,2021-01-18,周末加班,04:33,05:33,"¥2,307.00",36
9,殷函琪,研发部,开发工程师,2021-01-20,法定节假日,05:33,06:33,"¥4,715.00",21
10,汤凡和,测试部,测试工程师,2021-01-17,平时加班,06:33,07:33,¥964.00,22
