姓名/月份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
稻壳1,500.0,200.0,1100.0,525.0,130.0,231.0,904.0,215.0,156.0,252.0,500.0,105.0
稻壳2,1500.0,260.0,205.0,294.0,350.0,420.0,1592.0,354.0,540.0,575.0,105.0,200.0
稻壳3,80.0,91.0,100.0,150.0,115.0,189.0,84.0,195.0,145.0,164.0,356.0,354.0
稻壳4,90.0,101.0,99.0,89.0,1105.0,126.0,106.0,155.0,1165.0,164.0,1314.0,304.0
稻壳5,85.0,45.0,60.0,56.0,72.0,80.0,78.0,94.0,117.0,120.0,215.0,315.0
稻壳6,105.0,35.0,45.0,55.0,65.0,91.0,96.0,105.0,135.0,164.0,198.0,200.0
稻壳7,205.0,30.0,41.0,95.0,80.0,85.0,95.0,65.0,55.0,98.0,235.0,198.0
稻壳8,-157.8571429,-34.85714286,-269.5714286,-85.42857143,164.8571429,2.428571429,-352.8571429,19.14285714,167.4285714,29.85714286,310.4285714,273.7142857
稻壳9,-288.9285714,-70.78571429,-395.8928571,-151.9285714,137.6071429,-40.60714286,-546.6071429,-18.32142857,126.6785714,-17.57142857,283.6428571,282.2857143
稻壳10,-420.0,-106.7142857,-522.2142857,-218.4285714,110.3571429,-83.64285714,-740.3571429,-55.78571429,85.92857143,-65.0,256.8571429,290.8571429
稻壳11,-551.0714286,-142.6428571,-648.5357143,-284.9285714,83.10714286,-126.6785714,-934.1071429,-93.25,45.17857143,-112.4285714,230.0714286,299.4285714
稻壳12,-682.1428571,-178.5714286,-774.8571429,-351.4285714,55.85714286,-169.7142857,-1127.857143,-130.7142857,4.428571429,-159.8571429,203.2857143,308.0
稻壳13,-813.2142857,-214.5,-901.1785714,-417.9285714,28.60714286,-212.75,-1321.607143,-168.1785714,-36.32142857,-207.2857143,176.5,316.5714286
稻壳14,-944.2857143,-250.4285714,-1027.5,-484.4285714,1.357142857,-255.7857143,-1515.357143,-205.6428571,-77.07142857,-254.7142857,149.7142857,325.1428571
稻壳15,-1075.357143,-286.3571429,-1153.821429,-550.9285714,-25.89285714,-298.8214286,-1709.107143,-243.1071429,-117.8214286,-302.1428571,122.9285714,333.7142857
