学生公寓分配表-房间：-栋号,4-房号,人数：-房型,17-序号,姓名,铺位：-性别,17-联系电话,班级,空闲：-舍长,0-辅导员,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
A栋,A-101,6人间,1,学生1,男,153****1234,七（1）,-,林威,,1. 首次使用请先设置房间信息，包括栋号、房号；,,,,
A栋,A-101,6人间,2,学生2,男,153****1235,七（1）,-,林威,,2. 内置公式可自动计算房型、入住人数、空闲铺位，其中房型以“序号“列为依据统计，入住人数以”姓名“列为依据统计；,,,,
A栋,A-101,6人间,3,学生3,男,153****1236,七（1）,是,林威,,3. 表格行数不够时，请选中最后一行，按住Ctrl键直接向下拖拽，即可复制完整的表格样式及公式；,,,,
A栋,A-101,（ 0 空闲 ）,4,学生4,男,153****1237,七（1）,-,林威,,4. 表格已预设为A4纸，按下Ctrl+P可一键打印；,,,,
A栋,A-101,（ 0 空闲 ）,5,学生5,男,153****1238,七（2）,-,林威,,,,,,（本说明文字不被打印）
A栋,A-101,（ 0 空闲 ）,6,学生6,男,153****1239,七（1）,-,林威,,,,,,
A栋,A-102,4人间,1,学生7,男,153****1240,七（2）,是,林威,,,,,,
A栋,A-102,4人间,2,学生8,男,153****1241,七（2）,-,林威,,,,,,
A栋,A-102,4人间,3,学生9,男,153****1242,七（3）,-,林威,,,,,,
A栋,A-102,（ 0 空闲 ）,4,学生10,男,153****1243,七（1）,-,林威,,,,,,
A栋,A-103,4人间,1,学生11,男,153****1243,七（1）,是,林威,,,,,,
A栋,A-103,4人间,2,学生12,男,153****1244,七（2）,-,林威,,,,,,
A栋,A-103,4人间,3,学生13,男,153****1245,七（3）,-,林威,,,,,,
A栋,A-103,（ 0 空闲 ）,4,学生14,男,153****1246,七（4）,-,林威,,,,,,
A栋,A-104,3人间,1,学生14,男,153****1246,七（4）,是,林威,,,,,,
A栋,A-104,3人间,2,学生15,男,153****1247,七（5）,-,林威,,,,,,
A栋,A-104,3人间,3,学生16,男,153****1248,七（6）,-,林威,,,,,,
